Date,Type,Transaction ID,Received Quantity,Received Currency,Received Cost Basis (CAD),Received Wallet,Received Address,Received Comment,Received Ignored,Sent Quantity,Sent Currency,Sent Cost Basis (CAD),Sent Wallet,Sent Address,Sent Comment,Sent Ignored,Fee Amount,Fee Currency,Fee Cost Basis (CAD),Fee Ignored,Realized Return (CAD),Fee Realized Return (CAD)
01/12/2024 21:20:42,BUY,405321db-679b-4c32-8672-6f061d4484de,100000000000000.0,BONK,...,Coinbase Romeo Rosete ETH2 Vault,,Stock control suppervisor,,10000000.0,USD,...,Coinbase AMP Wallet,,Stock control suppervisor,,,,...,,...,...
01/12/2024 21:14:11,BUY,d02f29c6-5f37-4048-8b35-efc57fa69ebf,4000000000.0,RBN,...,Coinbase Romeo Rosete QNT Vault,,Stock control suppervisor,,10000000.0,USD,...,Coinbase Romeo Rosete QNT Vault,,Stock control suppervisor,,,,...,,...,...
01/12/2024 21:11:54,BUY,794db392-5f73-4da6-b509-b5339f6c9d8f,1000000000.0,BTRST,...,Coinbase Romeo Rosete AAVE Vault,,Stock control suppervisor,,10000000.0,USD,...,Coinbase Romeo Rosete GMT Vault,,Stock control suppervisor,,,,...,,...,...
01/12/2024 21:10:01,BUY,a37578d7-b5db-4367-b2c5-84105bec7f3a,1000000000.0,CVX,...,Coinbase ETH2 Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase Romeo Rosete BIT Vault,,Stock control suppervisor,,,,...,,...,...
01/12/2024 21:07:40,BUY,42d91483-9390-4dd6-8546-4ceb3752f834,6000000000.0,PLA,...,Coinbase USDC Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase XTZ Wallet,,Stock control suppervisor,,,,...,,...,...
01/12/2024 21:05:48,BUY,c24df2b9-57a9-487d-a373-098df279026b,1000000000.0,EGLD,...,Coinbase XRP Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase Romeo Rosete BTC Vault,,Stock control suppervisor,,,,...,,...,...
01/12/2024 21:02:24,BUY,e57ad630-102a-45f1-895e-b5d8fe11f041,8000000000.0,VGX,...,Coinbase SEAM Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase Romeo Rosete BCH Vault,,Stock control suppervisor,,,,...,,...,...
01/12/2024 20:59:19,BUY,07b0b269-7416-40ba-845c-cf6af7d3c282,10000000000.0,CVC,...,Coinbase SUI Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase NMR Wallet,,Stock control suppervisor,,,,...,,...,...
01/12/2024 20:57:27,BUY,68967cd6-cca3-46d3-97bc-49dbc85cb857,1000000000.0,OMG,...,Coinbase USDT Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase FIDA Wallet,,Stock control suppervisor,,,,...,,...,...
01/12/2024 20:44:11,BUY,fccb765e-1fc9-446e-a6b3-2cdcd4bc107c,1000000000.0,ANT,...,Coinbase YFII Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase RPL Wallet,,Stock control suppervisor,,,,...,,...,...
01/12/2024 18:35:07,BUY,8298758c-e3c2-4ad1-84c9-8c9dd78accf6,50000000.0,YFII,...,Coinbase MIR Wallet,,Stock control suppervisor,,1000000.0,USD,...,Coinbase RAD Wallet,,Stock control suppervisor,,,,...,,...,...
01/12/2024 18:35:07,BUY,131f7e28-d1ce-4b4f-9739-e619193cb6d6,50000000.0,YFII,...,Coinbase,,,,1000000.0,USD,...,Coinbase,,,,,,...,,...,...
01/12/2024 18:30:19,BUY,34028240-dcb6-44f9-8ba5-dece011f2db0,2000000000.0,KNC,...,Coinbase GYEN Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase NEST Wallet,,Stock control suppervisor,,,,...,,...,...
01/12/2024 18:30:19,BUY,f86c566e-ca3d-4d1f-a92f-00a1bfdb304f,2000000000.0,KNC,...,Coinbase,,,,10000000.0,USD,...,Coinbase,,,,,,...,,...,...
01/12/2024 18:26:59,BUY,9e06c7d1-3bc9-45c4-b82e-3652b6c00e7e,1000000000.0,RLC,...,Coinbase MSOL Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase LRC Wallet,,Stock control suppervisor,,,,...,,...,...
01/12/2024 18:26:59,BUY,fe878834-a1ee-4324-bd23-d6f2a6996321,1000000000.0,RLC,...,Coinbase,,,,10000000.0,USD,...,Coinbase,,,,,,...,,...,...
01/12/2024 18:23:57,BUY,bb1ab143-69f9-4796-9a8c-0ce399d54a44,4000000000.0,ENJ,...,Coinbase DDX Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase FOX Wallet,,Stock control suppervisor,,,,...,,...,...
01/12/2024 18:23:57,BUY,7bc31672-f883-4fcd-aa55-865af50da177,4000000000.0,ENJ,...,Coinbase,,,,10000000.0,USD,...,Coinbase,,,,,,...,,...,...
01/12/2024 18:17:39,BUY,fb7981d2-2939-44e4-bbbb-330640ea2667,2000000000.0,KRL,...,Coinbase CBETH Wallet,,Stock control suppervisor,,10000000.0,USD,...,Coinbase ACH Wallet,,Stock control suppervisor,,,,...,,...,...
